City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.22,80,100,6.26,PN,1731264420
1,jinghong,21.991,100.7341,18.47,94,7,1.22,CN,1731264421
2,taulaga,-11.0553,-171.0883,28.65,73,94,7.82,AS,1731264422
3,bethel,41.3712,-73.414,14.56,45,0,5.14,US,1731264423
4,gaspe,48.8334,-64.4819,7.12,42,20,4.12,CA,1731264424
5,constantia,44.1833,28.65,6.38,80,98,6.95,RO,1731264261
6,tsiombe,-25.3,45.4833,22.89,86,19,1.73,MG,1731264426
7,berezovyy,51.6667,135.7,-3.84,59,41,3.62,RU,1731264427
8,iskateley,67.6803,53.1512,-9.65,86,30,2.99,RU,1731264241
9,port mathurin,-19.6833,63.4167,24.53,81,100,7.93,MU,1731264430
10,abepura,-2.6333,140.5833,24.45,94,40,0.51,ID,1731264431
11,nagqu,31.5,92.0,-2.59,53,20,1.98,CN,1731264432
12,shelbyville,35.4834,-86.4603,21.06,73,20,5.66,US,1731264200
13,jamestown,42.097,-79.2353,8.9,95,100,5.14,US,1731264434
14,garissa,-0.4536,39.6401,29.0,64,87,7.3,KE,1731264436
15,port-aux-francais,-49.35,70.2167,4.44,83,62,9.97,TF,1731264437
16,kodiak,57.79,-152.4072,3.73,93,100,9.77,US,1731264438
17,isafjordur,66.0755,-23.124,1.57,94,100,14.48,IS,1731264439
18,walvis bay,-22.9575,14.5053,15.09,81,12,6.78,NA,1731264440
19,zhanjiang,21.2815,110.3427,22.36,79,100,2.55,CN,1731264442
20,waitangi,-43.9535,-176.5597,13.23,97,100,2.24,NZ,1731264443
21,hammerfest,70.6634,23.6821,7.25,81,75,5.14,NO,1731264444
22,idri,27.5,13.2667,20.32,31,100,2.19,LY,1731264445
23,ripky,51.801,31.0838,4.99,79,100,2.37,UA,1731264446
24,margaret river,-33.95,115.0667,9.37,91,71,2.71,AU,1731264447
25,mejit,10.2753,170.8646,28.42,74,0,8.45,MH,1731264448
26,ta`u,-14.2336,-169.5144,27.17,82,100,8.12,AS,1731264449
27,schonkirchen,54.3333,10.2333,7.29,87,100,3.6,DE,1731264450
28,port alfred,-33.5906,26.891,15.66,98,100,0.45,ZA,1731264451
29,la'ie,21.6477,-157.9253,25.62,77,24,3.58,US,1731264452
30,gilgit,35.9221,74.3087,13.57,54,99,1.84,PK,1731264453
31,yellowknife,62.456,-114.3525,-8.71,86,75,3.6,CA,1731264455
32,west island,-12.1568,96.8225,26.99,83,100,6.69,CC,1731264446
33,olonkinbyen,70.9221,-8.7187,1.72,98,100,10.44,SJ,1731264457
34,ushuaia,-54.8,-68.3,6.81,81,75,7.72,AR,1731264388
35,grytviken,-54.2811,-36.5092,0.33,74,38,1.47,GS,1731264459
36,san felipe,10.3399,-68.7425,26.8,77,100,2.1,VE,1731264460
37,guerrero negro,27.9769,-114.0611,23.59,31,92,1.38,MX,1731264171
38,akropong,5.9746,-0.0854,23.0,82,29,1.65,GH,1731264462
39,crane,31.3974,-102.3501,22.26,14,0,3.72,US,1731264463
40,san jose de feliciano,-30.3845,-58.7517,34.22,19,0,5.08,AR,1731264464
41,san antonio de pale,-1.4014,5.6325,26.1,83,96,2.98,GQ,1731264465
42,edinburgh of the seven seas,-37.0676,-12.3116,15.83,88,100,13.25,SH,1731264466
43,saint-francois,46.4154,3.9054,12.45,93,20,2.57,FR,1731264468
44,coahuayana de hidalgo,18.7,-103.6583,31.8,56,18,3.08,MX,1731264469
45,puerto natales,-51.7236,-72.4875,11.25,58,75,7.72,CL,1731264470
46,al jawf,29.5,38.75,21.9,39,0,3.97,SA,1731264471
47,saudarkrokur,65.7461,-19.6394,4.52,92,100,6.86,IS,1731264472
48,shimanovsk,52.0,127.7,-9.13,73,5,4.31,RU,1731264473
49,ust-nera,64.5667,143.2,-25.19,99,92,1.5,RU,1731264474
50,tiksi,71.6872,128.8694,-19.49,99,83,1.64,RU,1731264357
51,klyuchi,52.2667,79.1667,0.26,90,100,8.29,RU,1731264476
52,pandaria,22.2333,81.4167,19.74,60,0,1.53,IN,1731264477
53,kindu,-2.95,25.95,19.73,99,75,0.9,CD,1731264478
54,port elizabeth,-33.918,25.5701,16.84,90,0,2.57,ZA,1731264479
55,uturoa,-16.7333,-151.4333,27.2,81,100,5.8,PF,1731264480
56,albany,42.6001,-73.9662,12.97,39,100,1.79,US,1731264481
57,yuzhno-kurilsk,44.0306,145.8556,9.59,80,100,6.83,RU,1731264483
58,markapur,15.7333,79.2833,23.1,72,100,1.58,IN,1731264484
59,east london,-33.0153,27.9116,17.13,88,100,1.3,ZA,1731264485
60,ilulissat,69.2167,-51.1,-3.99,74,100,4.12,GL,1731264287
61,flying fish cove,-10.4217,105.6791,25.82,94,100,3.6,CX,1731264487
62,mata-utu,-13.2816,-176.1745,27.41,81,89,7.26,WF,1731264488
